cp	max_depth	max_bucket	min_split	ganancia_promedio
-0.1	2	500	1000	7110000
-0.1	2	500	800	7110000
-0.1	2	500	600	7110000
-0.1	2	500	400	7110000
-0.1	2	500	200	7110000
-0.1	2	500	100	7110000
-0.1	2	500	50	7110000
-0.1	2	500	20	7110000
-0.1	2	500	10	7110000
-0.1	2	400	1000	7110000
-0.1	2	400	800	7110000
-0.1	2	400	600	7110000
-0.1	2	400	400	7110000
-0.1	2	400	200	7110000
-0.1	2	400	100	7110000
-0.1	2	400	50	7110000
-0.1	2	400	20	7110000
-0.1	2	400	10	7110000
-0.1	2	300	1000	7110000
-0.1	2	300	800	7110000
-0.1	2	300	600	7110000
-0.1	2	300	400	7110000
-0.1	2	300	200	7110000
-0.1	2	300	100	7110000
-0.1	2	300	50	7110000
-0.1	2	300	20	7110000
-0.1	2	300	10	7110000
-0.1	2	200	1000	7110000
-0.1	2	200	800	7110000
-0.1	2	200	600	7110000
-0.1	2	200	400	7110000
-0.1	2	200	200	7110000
-0.1	2	200	100	7110000
-0.1	2	200	50	7110000
-0.1	2	200	20	7110000
-0.1	2	200	10	7110000
-0.1	2	100	1000	7110000
-0.1	2	100	800	7110000
-0.1	2	100	600	7110000
-0.1	2	100	400	7110000
-0.1	2	100	200	7110000
-0.1	2	100	100	7110000
-0.1	2	100	50	7110000
-0.1	2	100	20	7110000
-0.1	2	100	10	7110000
-0.1	2	50	1000	7110000
-0.1	2	50	800	7110000
-0.1	2	50	600	7110000
-0.1	2	50	400	7110000
-0.1	2	50	200	7110000
-0.1	2	50	100	7110000
-0.1	2	50	50	7110000
-0.1	2	50	20	7110000
-0.1	2	50	10	7110000
-0.1	2	20	1000	7110000
-0.1	2	20	800	7110000
-0.1	2	20	600	7110000
-0.1	2	20	400	7110000
-0.1	2	20	200	7110000
-0.1	2	20	100	7110000
-0.1	2	20	50	7110000
-0.1	2	20	20	7110000
-0.1	2	20	10	7110000
-0.1	2	10	1000	7110000
-0.1	2	10	800	7110000
-0.1	2	10	600	7110000
-0.1	2	10	400	7110000
-0.1	2	10	200	7110000
-0.1	2	10	100	7110000
-0.1	2	10	50	7110000
-0.1	2	10	20	7110000
-0.1	2	10	10	7110000
-0.1	2	5	1000	7110000
-0.1	2	5	800	7110000
-0.1	2	5	600	7110000
-0.1	2	5	400	7110000
-0.1	2	5	200	7110000
-0.1	2	5	100	7110000
-0.1	2	5	50	7110000
-0.1	2	5	20	7110000
-0.1	2	5	10	7110000
-0.1	4	500	1000	9256667
-0.1	4	500	800	9256667
-0.1	4	500	600	9256667
-0.1	4	500	400	9256667
-0.1	4	500	200	9256667
-0.1	4	500	100	9256667
-0.1	4	500	50	9256667
-0.1	4	500	20	9256667
-0.1	4	500	10	9256667
-0.1	4	400	1000	9256667
-0.1	4	400	800	9273333
-0.1	4	400	600	9273333
-0.1	4	400	400	9273333
-0.1	4	400	200	9273333
-0.1	4	400	100	9273333
-0.1	4	400	50	9273333
-0.1	4	400	20	9273333
-0.1	4	400	10	9273333
-0.1	4	300	1000	9256667
-0.1	4	300	800	9273333
-0.1	4	300	600	9273333
-0.1	4	300	400	9273333
-0.1	4	300	200	9273333
-0.1	4	300	100	9273333
-0.1	4	300	50	9273333
-0.1	4	300	20	9273333
-0.1	4	300	10	9273333
-0.1	4	200	1000	9346667
-0.1	4	200	800	9363333
-0.1	4	200	600	9363333
-0.1	4	200	400	9363333
-0.1	4	200	200	9363333
-0.1	4	200	100	9363333
-0.1	4	200	50	9363333
-0.1	4	200	20	9363333
-0.1	4	200	10	9363333
-0.1	4	100	1000	9733333
-0.1	4	100	800	9750000
-0.1	4	100	600	9750000
-0.1	4	100	400	9750000
-0.1	4	100	200	9750000
-0.1	4	100	100	9750000
