cp	max_depth	min_bucket	min_split	ganancia_promedio
-0.1	11	10	600	12836000
-0.1	11	10	700	12696000
-0.1	11	10	800	12696000
-0.1	11	15	600	10604000
-0.1	11	15	700	10732000
-0.1	11	15	800	11384000
-0.1	11	20	600	11704000
-0.1	11	20	700	11392000
-0.1	11	20	800	10976000
-0.1	12	10	600	12756000
-0.1	12	10	700	12616000
-0.1	12	10	800	12616000
-0.1	12	15	600	11284000
-0.1	12	15	700	11468000
-0.1	12	15	800	11324000
-0.1	12	20	600	11728000
-0.1	12	20	700	11200000
-0.1	12	20	800	10756000
-0.1	13	10	600	11544000
-0.1	13	10	700	12492000
-0.1	13	10	800	12492000
-0.1	13	15	600	9880000
-0.1	13	15	700	11196000
-0.1	13	15	800	11052000
-0.1	13	20	600	11532000
-0.1	13	20	700	11012000
-0.1	13	20	800	10568000
