cp	max_depth	min_bucket	min_split	ganancia_promedio
-0.1	6	10	50	10736000
-0.1	6	10	100	10736000
-0.1	6	10	200	10736000
-0.1	6	10	300	10736000
-0.1	6	10	400	10736000
-0.1	6	10	500	10736000
-0.1	6	20	50	11640000
-0.1	6	20	100	11640000
-0.1	6	20	200	11500000
-0.1	6	20	300	11500000
-0.1	6	20	400	11500000
-0.1	6	20	500	11500000
-0.1	6	50	100	11544000
-0.1	6	50	200	10992000
-0.1	6	50	300	10992000
-0.1	6	50	400	11064000
-0.1	6	50	500	11064000
-0.1	6	100	200	10740000
-0.1	6	100	300	10812000
-0.1	6	100	400	10812000
-0.1	6	100	500	10812000
-0.1	8	10	50	10136000
-0.1	8	10	100	10104000
-0.1	8	10	200	10104000
-0.1	8	10	300	10340000
-0.1	8	10	400	10348000
-0.1	8	10	500	10376000
-0.1	8	20	50	9128000
-0.1	8	20	100	9440000
-0.1	8	20	200	9824000
-0.1	8	20	300	9996000
-0.1	8	20	400	10152000
-0.1	8	20	500	11072000
-0.1	8	50	100	9800000
-0.1	8	50	200	9048000
-0.1	8	50	300	8888000
-0.1	8	50	400	8972000
-0.1	8	50	500	10316000
-0.1	8	100	200	10020000
-0.1	8	100	300	9812000
-0.1	8	100	400	9296000
-0.1	8	100	500	10532000
-0.1	10	10	50	8736000
-0.1	10	10	100	9284000
-0.1	10	10	200	9460000
-0.1	10	10	300	9728000
-0.1	10	10	400	9736000
-0.1	10	10	500	9808000
-0.1	10	20	50	8140000
-0.1	10	20	100	9124000
-0.1	10	20	200	8976000
-0.1	10	20	300	8452000
-0.1	10	20	400	8292000
-0.1	10	20	500	9360000
-0.1	10	50	100	9620000
-0.1	10	50	200	8384000
-0.1	10	50	300	8608000
-0.1	10	50	400	8704000
-0.1	10	50	500	1e+07
-0.1	10	100	200	8272000
-0.1	10	100	300	8568000
-0.1	10	100	400	8124000
-0.1	10	100	500	9532000
-0.1	12	10	50	6712000
-0.1	12	10	100	7456000
-0.1	12	10	200	7468000
-0.1	12	10	300	8188000
-0.1	12	10	400	8352000
-0.1	12	10	500	8292000
-0.1	12	20	50	7204000
-0.1	12	20	100	7720000
-0.1	12	20	200	8380000
-0.1	12	20	300	7744000
-0.1	12	20	400	8320000
-0.1	12	20	500	9388000
-0.1	12	50	100	9676000
-0.1	12	50	200	8964000
-0.1	12	50	300	9052000
-0.1	12	50	400	9004000
-0.1	12	50	500	10584000
-0.1	12	100	200	7908000
-0.1	12	100	300	8292000
-0.1	12	100	400	7628000
-0.1	12	100	500	9740000
