fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 203754	-0.477366366919887	4252	530	9	5	8559000	1
20220520 203837	-0.37081958813651	5799	1021	12	5	8730000	2
20220520 203923	-0.812949973151262	3689	1161	16	5	8663000	3
20220520 204006	-0.891089466569247	7148	235	9	5	8322000	4
20220520 204046	-0.197723281507206	4695	883	7	5	8742000	5
20220520 204137	-0.712477712212422	3478	372	13	5	9130000	6
20220520 204222	-0.0986060316950897	7749	662	20	5	8381000	7
20220520 204318	-0.26559503848548	824	66	11	5	8661000	8
20220520 204359	-0.134537386325246	6886	1671	14	5	8322000	9
20220520 204424	-0.618592491625168	5219	439	4	5	8731000	10
20220520 204504	-0.942785277515941	6301	1393	19	5	7837000	11
20220520 204547	-0.921775819482282	7218	1052	16	5	8322000	12
20220520 204634	-0.139106617486104	5677	166	10	5	8643000	13
20220520 204658	-0.080538639742881	3345	1274	3	5	7918000	14
20220520 204741	-0.94155833395198	3608	1725	15	5	8560000	15
20220520 204818	-0.411283058079425	5435	946	6	5	8661000	16
20220520 204918	-0.559646010036732	3309	75	13	5	9169000	17
20220520 205027	-0.0943417156894681	3701	1	13	5	9104000	18
20220520 205130	-0.484090211007733	3369	2	12	5	9208000	19
20220520 205222	-0.252802017864305	3009	480	12	5	9653000	20
20220520 205255	0.0238253840946202	2852	642	12	5	0	21
20220520 205341	-0.255850219358958	3779	1430	20	5	8357000	22
20220520 205412	-0.256937806120417	7981	413	5	5	8381000	23
20220520 205511	-0.223107833195324	3054	308	20	5	9566000	24
20220520 205646	-0.647198200812614	7	3	19	5	5044000	25
20220520 205710	-0.727755628429378	7678	807	3	5	8381000	26
20220520 205735	-0.538821559352808	7586	2	3	5	8381000	27
20220520 205904	-0.410612742276199	2320	1	20	5	9342000	28
20220520 205939	-0.577681211073413	4534	1608	6	5	8227000	29
20220520 210031	-0.232121742272505	1790	579	12	5	10134000	30
20220520 210053	-0.231088293917803	1753	477	3	5	8739000	31
20220520 210149	-0.180694294628723	1031	510	16	5	9449000	32
20220520 210238	-0.770523374882012	3415	1	9	5	9134000	33
20220520 210328	-0.229189915958224	1543	737	15	5	10170000	34
20220520 210416	-0.222454561458889	2451	566	14	5	9688000	35
20220520 210503	-0.238122313704685	1164	571	18	5	9492000	36
20220520 210545	-0.352611830094265	1856	912	11	5	10165000	37
20220520 210632	-0.354935724248586	3257	6	12	5	9779000	38
20220520 210715	-0.312357452258915	1804	866	13	5	10357000	39
20220520 210736	-0.999931296261412	2302	3	3	5	8899000	40
20220520 210756	-0.893889342406692	1722	852	3	5	8778000	41
20220520 210857	-0.678760579303502	6737	1	20	5	8338000	42
20220520 211003	-0.916924188975981	2791	1	20	5	9359000	43
20220520 211120	-0.999708221257217	4	1	20	5	6921000	44
20220520 211139	-0.918215878312951	3780	4	3	5	8901000	45
20220520 211245	-0.403359393110819	8000	4	20	5	8229000	46
20220520 211329	-0.282554379961507	1806	903	12	5	10164000	47
20220520 211413	-0.332387242229986	1803	667	14	5	10576000	48
20220520 211501	-0.333425191287099	1829	270	14	5	10231000	49
20220520 211542	-0.338447952854354	1823	754	20	5	10242000	50
20220520 211622	-0.334203091501526	1618	804	15	5	10397000	51
20220520 211703	-0.333008601671441	2104	687	15	5	9964000	52
20220520 211738	-0.603337758812211	7998	2000	14	5	8381000	53
20220520 211821	-0.379776459645937	1682	613	13	5	10169000	54
20220520 211905	-0.157864465795625	3494	672	14	5	9365000	55
20220520 211924	-0.0828124956292052	7998	1999	3	5	8381000	56
20220520 211949	-0.372779121863477	7996	2000	4	5	8381000	57
20220520 212013	-0.999661599288712	7999	1861	4	5	8381000	58
20220520 212113	-0.999528793164664	8000	2	20	5	8233000	59
20220520 212201	-0.331326279969382	1685	646	12	5	10428000	60
20220520 212222	-0.129584118861573	4068	11	3	5	8826000	61
20220520 212330	-0.130689151870368	4491	2	20	5	8334000	62
20220520 212427	-0.999778179869517	4277	1	14	5	8823000	63
20220520 212446	-0.783899379989623	5475	2000	3	5	8340000	64
20220520 212556	-0.526441357777062	5168	1	20	5	8569000	65
20220520 212651	-0.208249340440732	3583	2	14	5	8930000	66
20220520 212747	-0.887210562855592	2532	3	12	5	9556000	67
20220520 212807	-0.335016801878629	3480	1668	3	5	8237000	68
20220520 212900	-0.748477971530151	5975	7	13	5	8217000	69
20220520 212921	-0.70243063775562	2767	1	3	5	9066000	70
20220520 213005	-0.34242805834944	1636	818	13	5	10461000	71
20220520 213041	-0.817049394325843	7998	1999	20	5	8381000	72
20220520 213104	-0.0914490070080669	7997	1	3	5	8544000	73
20220520 213150	-0.133184015968821	1762	635	20	5	10277000	74
20220520 213254	-0.122417188749293	1757	55	14	5	9051000	75
20220520 213315	-0.352059780823013	6417	50	3	5	8573000	76
20220520 213401	-0.179919932798756	1815	906	19	5	10168000	77
20220520 213423	-0.0959658830414064	6153	992	3	5	8646000	78
20220520 213511	-0.412057865490095	3250	625	20	5	9715000	79
20220520 213600	-0.354207513651228	1719	476	14	5	10384000	80
20220520 213621	-0.740057894530994	2922	1460	3	5	8123000	81
20220520 213658	-0.468386158909617	6970	1998	20	5	8357000	82
20220520 213744	-0.339829332342447	1771	719	14	5	10362000	83
20220520 213831	-0.326663323331954	1133	565	14	5	9467000	84
20220520 213915	-0.364128479357246	1754	874	20	5	10337000	85
20220520 214001	-0.259939710034294	1894	589	20	5	10022000	86
20220520 214716	-0.359123657014469	810	405	20	5	9721000	87
20220520 214735	-0.088919634346397	7297	1	3	5	8544000	88
20220520 214821	-0.126196987703116	1785	687	20	5	10541000	89
20220520 214901	-0.132405830727244	1742	762	14	5	10335000	90
20220520 214956	-0.122992159414951	1780	73	20	5	9023000	91
20220520 215038	-0.134668008210898	1821	910	20	5	10168000	92
20220520 215117	-0.107465155467855	1564	736	20	5	10288000	93
20220520 215135	-0.354283252084252	6384	1	3	5	8847000	94
20220520 215215	-0.352589767864504	1737	628	15	5	10276000	95
20220520 215310	-0.416469265285095	18	5	13	5	7833000	96
20220520 215331	-0.73705636040317	2913	1456	3	5	8123000	97
20220520 215350	-0.097466368156618	5526	715	3	5	8713000	98
20220520 215410	-0.858254948928816	7995	1986	3	5	8381000	99
20220520 215512	-0.32452738044321	4181	4	20	5	8355000	100
20220520 215547	-0.47718081398731	7000	2000	20	5	8357000	101
20220520 215623	-0.234896274038966	7995	1999	20	5	8381000	102
20220520 215658	-0.672716684923811	5183	2000	20	5	8244000	103
20220520 215736	-0.999773210934901	2467	917	17	5	9901000	104
20220520 225259	-0.967950960963429	2744	709	10	5	9848000	105
20220520 225355	-0.83957778271343	1938	667	20	5	10401000	106
20220520 225508	-0.794484655490269	2214	361	20	5	9771000	107
20220520 225611	-0.879226264021787	1994	909	20	5	10098000	108
20220520 225719	-0.850304430812867	2552	559	19	5	9688000	109
20220520 225826	-0.951016250357432	1813	642	16	5	10340000	110
20220520 225930	-0.823052966060852	1720	797	14	5	10414000	111
20220520 230037	-0.835088965811645	1333	587	20	5	9451000	112
20220520 230144	-0.83316110808478	1987	768	14	5	10182000	113
20220520 230247	-0.81140474145756	1803	896	20	5	10192000	114
20220520 230352	-0.999691716665588	1756	753	12	5	10335000	115
20220520 230459	-0.989655217537385	1848	571	20	5	10042000	116
20220520 230609	-0.818709324491339	1754	2	12	5	9908000	117
20220520 230652	-0.740914029175604	1741	692	11	5	10541000	118
20220520 230733	-0.669817061581561	1776	801	10	5	10395000	119
20220520 230817	-0.7075939842026	1753	731	13	5	10365000	120
20220520 230858	-0.553257158315468	1745	826	10	5	10385000	121
20220520 230938	-0.605406591852465	1790	749	10	5	10330000	122
20220520 231016	-0.715089846935118	1738	717	8	5	10362000	123
20220520 231100	-0.522701383052668	1804	736	20	5	10339000	124
20220520 231142	-0.462544205412482	1764	818	14	5	10441000	125
20220520 231226	-0.771672358508898	1755	686	12	5	10541000	126
20220520 231246	-0.23282710157344	6220	2000	3	5	8340000	127
