fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220522 215145	822	24	279	9	5	11386000	1
20220523 024318	1240	16	133	20	5	10832000	2
20220523 035650	2202	7	461	40	5	10920000	3
20220523 050502	1473	22	256	27	5	9940000	4
20220523 053302	508	14	291	37	5	10658000	5
20220523 054408	337	27	59	19	5	9281000	6
20220523 062904	1851	18	221	15	5	11192000	7
20220523 070156	727	14	93	30	5	11048000	8
20220523 070431	653	2	190	13	5	7439000	9
20220523 071604	1089	10	469	8	5	11311000	10
20220523 105238	1240	16	133	20	5	10832000	11
20220523 121503	2202	7	461	40	5	10920000	12
20220523 132902	1473	22	256	27	5	9940000	13
20220523 135823	508	14	291	37	5	10658000	14
20220523 140941	337	27	59	19	5	9281000	15
20220523 145540	1851	18	221	15	5	11192000	16
20220523 152901	727	14	93	30	5	11048000	17
20220523 153148	653	2	190	13	5	7439000	18
20220523 154405	1089	10	469	8	5	11311000	19
20220523 190433	2067	30	166	49	5	8432000	20
20220523 193825	1300	5	382	43	5	10734000	21
20220523 195830	1703	4	17	23	5	10722000	22
20220523 215251	1989	26	418	32	5	10039000	23
20220523 220113	932	20	110	4	5	11240000	24
20220523 222418	2419	9	334	7	5	11387000	25
20220523 224441	224	24	349	47	5	9458000	26
20220523 233029	1710	10	1	21	5	11286000	27
20220523 235920	2498	6	1	13	5	11061000	28
20220524 001105	2234	12	91	2	5	10323000	29
20220524 002819	651	9	162	22	5	11499000	30
20220524 015226	1538	9	294	50	5	10967000	31
20220524 015631	986	9	1	2	5	9504000	32
20220524 030042	2497	9	296	23	5	11197000	33
20220524 032956	927	10	398	26	5	11159000	34
20220524 041925	1845	7	10	31	5	11117000	35
20220524 045507	2348	10	500	12	5	11434000	36
20220524 051235	1894	18	451	5	5	11574000	37
20220524 051436	135	18	477	8	5	11160000	38
20220524 054048	2461	19	317	6	5	11295000	39
20220524 060601	1991	14	500	8	5	11733000	40
