fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220530 222401	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	26	TRUE	111599	0.184746686092345	0.738289674567059	3526	228	0.0367754508629635	10254000	1
20220530 222418	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	24	TRUE	111599	0.149215523974854	0.428918945807964	5580	706	0.0118404774320273	12464000	2
20220530 222442	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	30	TRUE	111599	0.156755775824655	0.545710591003299	5700	573	0.0322756525943987	10708000	3
20220530 222500	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	53	TRUE	111599	0.107023438096512	0.577704402804375	7283	647	0.0423104765194391	8857000	4
20220530 222533	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	172	TRUE	111599	0.029405933737522	0.622334659239277	6587	398	0.0262934225203935	11814000	5
20220530 222542	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	17	TRUE	111599	0.296237792804837	0.838357075229287	3046	438	0.023037658057001	11649000	6
20220530 222558	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	27	TRUE	111599	0.208791654795292	0.476924450863153	3925	176	0.0377664646686753	9923000	7
20220530 222606	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	12	TRUE	111599	0.233665479667019	0.206606197506189	2434	282	0.0181275384350253	12947000	8
20220530 222618	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	21	TRUE	111599	0.175632296790602	0.906167918862775	1470	125	0.0336014964714802	9766000	9
20220530 222638	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	60	TRUE	111599	0.0490836967168143	0.687765771159902	2037	106	0.0290995741379447	11158000	10
20220530 222746	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	556	TRUE	111599	0.01182535094989	0.671151046995074	4860	982	0.0487229302869916	7809000	11
20220530 222829	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	19	TRUE	111599	0.0853028698264388	0.760168155701831	73	881	0.0291974479196748	5320000	12
20220530 222839	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	32	TRUE	111599	0.26380992889218	0.317101252172142	6917	784	0.0401054933613826	8839000	13
20220530 222854	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	73	TRUE	111599	0.135087329800008	0.393079675789922	7791	499	0.0125613534648437	12798000	14
20220530 222905	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	18	TRUE	111599	0.272185685965931	0.358246219977736	1762	945	0.021987200784982	11152000	15
20220530 222920	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	42	TRUE	111599	0.116820187050849	0.257158350618556	1168	541	0.045050775623046	7892000	16
20220530 222936	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	125	TRUE	111599	0.0785505188013194	0.950094958599657	6223	825	0.0202355868823361	12224000	17
20220530 222944	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	11	TRUE	111599	0.214112893467071	0.962244351152331	4671	33	0.0156789229455171	12036000	18
20220530 223009	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	41	TRUE	111599	0.0639892269730335	0.481863900600001	729	346	0.0100457274233728	13131000	19
20220530 223018	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	27	TRUE	111599	0.25220627454971	0.874015804203227	4147	761	0.0464115865853576	8016000	20
20220530 223040	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	13	TRUE	111599	0.0572282221249467	0.382610310379117	1904	85	0.00844204548703469	11855000	21
20220530 223116	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	104	TRUE	111599	0.0393919018954612	0.448673469879525	2226	415	0.0149003990870695	13517000	22
20220530 223128	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	11	TRUE	111599	0.204758283327567	0.444026442361681	1629	478	0.0134331922545358	12075000	23
20220530 223238	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	293	TRUE	111599	0.0104778847388511	0.295471609191275	3871	328	0.0183061595365848	12906000	24
20220530 223352	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	165	TRUE	111599	0.0163208218861665	0.569452527583667	781	239	0.0153726336955979	12903000	25
20220530 223411	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	50	TRUE	111599	0.120507609413011	0.540578033965547	5997	373	0.0176569580820224	13675000	26
20220530 223427	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	87	TRUE	111599	0.062270523051655	0.763973273821256	5512	400	0.014951290733082	13319000	27
20220530 223436	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	23	TRUE	111599	0.231781679288502	0.200657874608109	6568	432	0.0196240822489769	12943000	28
20220530 223451	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	30	TRUE	111599	0.0992307490032431	0.529658766853038	3131	333	0.0170801354262037	12910000	29
20220530 223516	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	121	TRUE	111599	0.0493731065004941	0.376563512993758	6333	475	0.0160064405001516	13125000	30
20220530 223525	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	34	TRUE	111599	0.146742799040868	0.887316366802812	7553	297	0.0185177494857174	12734000	31
20220530 223654	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	385	TRUE	111599	0.0100097687261927	0.201066790689363	1201	422	0.0121360197275708	13243000	32
20220530 223707	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	32	TRUE	111599	0.14655514299989	0.412778023686548	5631	243	0.0204129752243313	12548000	33
20220530 223717	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	21	TRUE	111599	0.272659790731666	0.577740970234794	5975	426	0.0169166504764367	12712000	34
20220530 223728	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	51	TRUE	111599	0.120630939593023	0.623616796370607	6240	497	0.0171495718953431	12874000	35
20220530 223825	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	345	TRUE	111599	0.0192515898148476	0.357589368817424	5606	285	0.014098482095842	13093000	36
20220530 223938	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	356	TRUE	111599	0.0104086018811895	0.86360991434583	2316	410	0.0110975179822464	12874000	37
20220530 223952	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	62	TRUE	111599	0.124498692089861	0.212594709731599	5926	337	0.0178765896431856	12812000	38
20220530 224217	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	950	TRUE	111599	0.0100276525335645	0.525642275687819	7147	382	0.0134541978492892	12879000	39
20220530 224240	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	102	TRUE	111599	0.0655497469338872	0.512981161744159	5656	374	0.0109381497615022	12353000	40
20220530 224336	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	316	TRUE	111599	0.0100602508385994	0.842265805273541	5260	301	0.0181062111892823	12438000	41
20220530 224348	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	27	TRUE	111599	0.165200724109037	0.506608096839722	7739	398	0.0188358485564556	12879000	42
20220530 224546	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	134	TRUE	111599	0.0104111930440759	0.368234723918428	6	383	0.0129840064570727	4027000	43
20220530 224610	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	6	TRUE	111599	0.0571910289071776	0.755898573733517	1005	286	0.00834625322735864	11826000	44
20220530 224707	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	388	TRUE	111599	0.010863245807572	0.654854769710218	5985	63	0.0172782727640292	12923000	45
20220530 224730	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	100	TRUE	111599	0.042775911645788	0.271885800955921	6053	427	0.0182648494795995	12854000	46
20220530 224742	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	38	TRUE	111599	0.161905594147976	0.362317825486371	6802	233	0.0158625631219405	12889000	47
20220530 224911	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	594	TRUE	111599	0.011951502177268	0.224288213435117	2590	691	0.0135368355683572	13266000	48
20220530 224934	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	76	TRUE	111599	0.0675183242348392	0.503955576272134	4371	816	0.0145253833955885	13252000	49
20220530 224947	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	45	TRUE	111599	0.10240877054715	0.318960297331751	7371	1015	0.0163231304939496	13005000	50
20220530 225106	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	180	TRUE	111599	0.0101594373558715	0.514745337604758	2550	282	0.0165192431472863	13079000	51
20220530 225119	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	35	TRUE	111599	0.164401025990921	0.4194914858968	3740	637	0.0132914271708099	12962000	52
20220530 225132	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	35	TRUE	111599	0.216940012679869	0.20348235567203	856	122	0.011762560685398	11320000	53
20220530 225256	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	253	TRUE	111599	0.015036788202671	0.435522832047387	886	808	0.0108518204903443	12968000	54
20220530 225338	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	160	TRUE	111599	0.0134109164067685	0.998650762802653	3976	563	0.0145274683144768	13102000	55
20220530 225403	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	103	TRUE	111599	0.0558809491643694	0.529307431872312	4204	304	0.0141297953724856	13391000	56
20220530 225418	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	21	TRUE	111599	0.115816058148053	0.540278983169352	2408	811	0.0149017992055815	13096000	57
20220530 225434	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	55	TRUE	111599	0.0804373462631624	0.211601901839718	2385	446	0.0118005430529926	12860000	58
20220530 225540	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	430	TRUE	111599	0.021969847564506	0.546563991611283	5666	854	0.0160890000095778	13054000	59
20220530 225659	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	375	TRUE	111599	0.0103669187872079	0.209546228671176	2141	613	0.0178633745404899	13038000	60
20220530 225726	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	120	TRUE	111599	0.041669532328773	0.201857576263562	7471	383	0.0165988576929311	13009000	61
20220530 225923	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	562	TRUE	111599	0.0101576058435319	0.501227779107236	3408	945	0.0143047906051821	13220000	62
20220530 225943	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	87	TRUE	111599	0.0944507154280247	0.52203223787068	5880	368	0.0158125190791039	12876000	63
20220530 230131	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	637	TRUE	111599	0.0102413243264112	0.450133057814215	5061	1012	0.0131356782726629	13066000	64
20220530 230146	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	53	TRUE	111599	0.137703290395127	0.454647352895209	6426	119	0.0187659190161393	13057000	65
20220530 230338	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	944	TRUE	111599	0.0105387946854064	0.270692433762542	6664	1007	0.0141345710547683	13383000	66
20220530 230627	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	1479	TRUE	111599	0.0100176286359478	0.299889537098138	4053	569	0.00845485649183365	12190000	67
20220530 230959	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	627	TRUE	111599	0.010102241067829	0.387259048727364	6738	792	0.0178325850826393	13389000	68
20220530 231040	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	229	TRUE	111599	0.025155907426792	0.60714316293778	3646	16	0.0138871482953173	13365000	69
20220530 231213	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	525	TRUE	111599	0.0102598878227838	0.596611025008972	3611	423	0.0141141992459347	13308000	70
20220530 231249	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	189	TRUE	111599	0.0270306510975137	0.660806994831029	7999	954	0.016084428657869	13361000	71
20220530 231401	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	188	TRUE	111599	0.0100044017964402	0.425608073259667	1339	36	0.015806188678124	13532000	72
20220530 231526	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	686	TRUE	111599	0.0147895615166527	0.202056018827065	3390	137	0.014379908723124	13329000	73
20220530 231658	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	205	TRUE	111599	0.010337438196532	0.539964311233123	1292	352	0.0154603446187717	13415000	74
20220530 231823	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	501	TRUE	111599	0.0101051580187368	0.2558935691615	1976	20	0.0153066408567347	13443000	75
20220530 231852	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	207	TRUE	111599	0.0224173513535187	0.985304546959693	2009	17	0.0175213332022142	12583000	76
