fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	max_bin	min_gain_to_split	lambda_l1	lambda_l2	ganancia	iteracion
20220531 222849	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	643	TRUE	0.0104316652785055	0.3191049961813	2172	1090	0.0263821204288871	41	0.00576746618800098	48.6494594091912	54.4859226016949	32545000	1
20220531 223742	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	859	TRUE	0.00997635393674864	0.31808306662133	1537	899	0.0312916050177591	0.00228596803589608	70.852652364556	39.2813207407016	30870000	2
20220531 224134	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	3376	TRUE	0.00664671743592771	0.185999601095682	4576	908	0.034894037557145	0.00569924123377859	71.9930336679681	43.1613390057464	30001000	3
20220531 224329	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1509	TRUE	0.00964108851998753	0.155119471022044	4045	1218	0.0361914169032389	0.00273872826532897	79.6342914320121	78.2244737056317	29582000	4
20220531 225004	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	4254	TRUE	0.0039952009533954	0.394911758395028	3663	961	0.0139124242348771	0.00142202525406174	23.0599751856062	31.3787591156142	36713000	5
20220531 225105	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	362	TRUE	0.0111552994086014	0.274820781458402	5401	782	0.013091926051978	0.00621522915929381	92.9204227890295	24.4028020526457	35082000	6
20220531 225244	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	950	TRUE	0.0130959329885809	0.377729121252196	6060	1046	0.016668466622347	0.00757012160860904	41.752029844065	52.2417115564167	36391000	7
20220531 225443	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	850	TRUE	0.0087323381573733	0.429621390101966	2877	739	0.0301406526033437	0.00432298824380268	18.1944541334815	68.1512858092901	32897000	8
20220531 225645	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1478	TRUE	0.011015647414999	0.257787959481357	4824	779	0.0386844074781038	0.00813953115230106	44.5269570649543	20.67965876995	30520000	9
20220531 225746	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	654	TRUE	0.0197685156775551	0.275055017866544	6693	1375	0.0475867769944671	0.00496829815652018	62.4758456360723	37.464862503839	27008000	10
20220531 225851	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	591	TRUE	0.0136829941188407	0.220358313262113	1970	1096	0.033308761592222	0.00686612670064642	38.9139791346679	70.0710763136158	31939000	11
20220531 230149	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1762	TRUE	0.00514574920356245	0.236485376910423	7056	1464	0.0322333979770216	0.00883016327393125	29.6799397598079	76.5802922833245	32397000	12
20220531 230309	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	621	TRUE	0.0167472656628088	0.457081696533714	6466	1391	0.0491305659062467	0.00373543803107896	8.4835195550113	72.2120786587766	29835000	13
