fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220530 232213	0	0	0	1	auto	depthwise	256	0	1	0.106420060876175	0.387110891090706	3	8	0.0199114141820852	26	11590000	1
20220530 232643	0	0	0	1	auto	depthwise	256	0	1	0.245843120947597	0.694065254973248	7	18	0.0295541898483255	8	9238000	2
20220530 232930	0	0	0	1	auto	depthwise	256	0	1	0.156250737441587	0.259242387991399	1	13	0.0312779119432283	26	7094000	3
20220530 233455	0	0	0	1	auto	depthwise	256	0	1	0.170440487711341	0.744082455318421	8	19	0.0233883052807262	15	10727000	4
20220530 234747	0	0	0	1	auto	depthwise	256	0	1	0.0396600628345041	0.811748852897435	7	10	0.0269334025283266	102	11495000	5
20220530 235021	0	0	0	1	auto	depthwise	256	0	1	0.286041786125978	0.339633291400969	4	22	0.0133366123899274	7	10453000	6
20220530 235744	0	0	0	1	auto	depthwise	256	0	1	0.0738973906873725	0.645261518293992	10	20	0.0345207222514243	37	10161000	7
20220531 000233	0	0	0	1	auto	depthwise	256	0	1	0.214292625634	0.795745785227046	2	12	0.0213340776836655	11	8992000	8
20220531 000809	0	0	0	1	auto	depthwise	256	0	1	0.238867076016963	0.903177480529994	4	17	0.0421043275734216	6	6309000	9
20220531 001717	0	0	0	1	auto	depthwise	256	0	1	0.117095591074554	0.849494880819693	6	28	0.0288729208948401	23	9394000	10
20220531 001949	0	0	0	1	auto	depthwise	256	0	1	0.126324832499726	0.428926212890074	3	7	0.0164482699678047	25	11957000	11
20220531 002612	0	0	0	1	auto	depthwise	256	0	1	0.017596837013145	0.31693296588026	7	2	0.0477776269418731	692	8140000	12
20220531 003700	0	0	0	1	auto	depthwise	256	0	1	0.0634427444655448	0.581926971729845	1	27	0.0185641515335495	24	9465000	13
20220531 005852	0	0	0	1	auto	depthwise	256	0	1	0.0287109205391025	0.636387087050825	1	16	0.0446594316488093	142	6799000	14
20220531 010029	0	0	0	1	auto	depthwise	256	0	1	0.26431336944073	0.514896027529612	8	6	0.0372801008037641	7	8811000	15
20220531 010409	0	0	0	1	auto	depthwise	256	0	1	0.149217604722129	0.923462111940607	5	4	0.0497791579541323	68	7239000	16
20220531 010656	0	0	0	1	auto	depthwise	256	0	1	0.271547055324307	0.453387022949755	10	30	0.0101070075033931	10	11541000	17
20220531 010919	0	0	0	1	auto	depthwise	256	0	1	0.198483905319707	0.215767826484516	5	24	0.0403318566085848	19	7356000	18
20220531 011521	0	0	0	1	auto	depthwise	256	0	1	0.205247597703245	0.999561244165525	0	25	0.0383433526202377	1	2162000	19
20220531 012024	0	0	0	1	auto	depthwise	256	0	1	0.0836762705901638	0.524278260720894	9	14	0.0104809361233492	30	13107000	20
20220531 014732	0	0	0	1	auto	depthwise	256	0	1	0.010285389266767	0.60362362626783	5	9	0.00836479743898668	265	12663000	21
20220531 014946	0	0	0	1	auto	depthwise	256	0	1	0.0887122699530166	0.572842937629344	10	2	0.00845692638929937	124	11817000	22
20220531 022218	0	0	0	1	auto	depthwise	256	0	1	0.0101111331451324	0.413531110958761	9	30	0.0105789733387086	370	13131000	23
20220531 023047	0	0	0	1	auto	depthwise	256	0	1	0.0436179711883779	0.454827447536192	7	15	0.0126233577392791	73	12475000	24
20220531 031628	0	0	0	1	auto	depthwise	256	0	1	0.0100683092093995	0.685911136537414	9	23	0.00834484415304393	296	12509000	25
20220531 031932	0	0	0	1	auto	depthwise	256	0	1	0.0783140317849136	0.200319586407903	9	30	0.00834801738769721	39	12026000	26
20220531 034648	0	0	0	1	auto	depthwise	256	0	1	0.010002454288781	0.509202303361218	9	13	0.0142892917363985	268	13044000	27
20220531 035703	0	0	0	1	auto	depthwise	256	0	1	0.0452527598096158	0.5005566644451	9	30	0.0107015177810175	80	12957000	28
20220531 041643	0	0	0	1	auto	depthwise	256	0	1	0.0105104321090317	0.446275742851256	9	19	0.0084213188504897	54	12692000	29
20220531 042043	0	0	0	1	auto	depthwise	256	0	1	0.112459340918229	0.547557087285288	9	11	0.0107033932200623	22	12578000	30
20220531 050346	0	0	0	1	auto	depthwise	256	0	1	0.0101978561699799	0.855658081375151	10	14	0.0110355083313553	267	13265000	31
20220531 051746	0	0	0	1	auto	depthwise	256	0	1	0.022594560442651	0.605196230886998	10	15	0.0111834049432362	75	13231000	32
20220531 053251	0	0	0	1	auto	depthwise	256	0	1	0.0100776669462557	0.819426032704168	3	2	0.00932456944101216	720	12100000	33
20220531 060027	0	0	0	1	auto	depthwise	256	0	1	0.0100247228323886	0.476896094277245	10	30	0.0145316128126653	188	13195000	34
20220531 063342	0	0	0	1	auto	depthwise	256	0	1	0.0100514262938498	0.75419405695612	9	14	0.0107881616818057	129	13342000	35
20220531 071342	0	0	0	1	auto	depthwise	256	0	1	0.0123610976984152	0.988231792758303	9	14	0.0119229596188583	186	12981000	36
20220531 074604	0	0	0	1	auto	depthwise	256	0	1	0.0102019567335137	0.492163956705651	3	14	0.00835744549003773	260	13058000	37
20220531 075703	0	0	0	1	auto	depthwise	256	0	1	0.053247074762073	0.765830399022438	10	14	0.00835444811288302	77	12108000	38
20220531 080027	0	0	0	1	auto	depthwise	256	0	1	0.076588061519944	0.200214213892698	3	9	0.00971460517286905	99	12383000	39
20220531 081134	0	0	0	1	auto	depthwise	256	0	1	0.0101396023755972	0.408763523257289	10	2	0.0184574867119666	1032	13421000	40
20220531 082933	0	0	0	1	auto	depthwise	256	0	1	0.0102687551997305	0.321588457036263	10	17	0.017194768984369	202	12972000	41
20220531 085619	0	0	0	1	auto	depthwise	256	0	1	0.0100542597606394	0.893262322696028	10	2	0.0180198306365713	1620	13226000	42
20220531 090706	0	0	0	1	auto	depthwise	256	0	1	0.010017144956933	0.43887717538369	10	2	0.0222459455564297	893	12786000	43
20220531 092606	0	0	0	1	auto	depthwise	256	0	1	0.0100969480325257	0.623726581442948	10	2	0.0167409050275576	1474	13484000	44
20220531 092853	0	0	0	1	auto	depthwise	256	0	1	0.0801532503543557	0.464182947055541	10	2	0.0176449166318828	231	13392000	45
20220531 094356	0	0	0	1	auto	depthwise	256	0	1	0.0101712999023872	0.511816642934689	10	2	0.0174084198863685	1308	13467000	46
20220531 094541	0	0	0	1	auto	depthwise	256	0	1	0.066676990203187	0.231566760053187	10	2	0.0163985079542273	185	13130000	47
20220531 104201	0	0	0	1	auto	depthwise	256	0	1	0.0100691297240509	0.846128616743019	10	29	0.0165272901568829	341	12646000	48
20220531 111814	0	0	0	1	auto	depthwise	256	0	1	0.0100076405210771	0.455157329390587	4	19	0.0103877327088389	299	12938000	49
20220531 113002	0	0	0	1	auto	depthwise	256	0	1	0.011130513371548	0.494777581031043	9	2	0.0181312902666967	949	13401000	50
20220531 113354	0	0	0	1	auto	depthwise	256	0	1	0.0898959681549306	0.361529565994912	10	30	0.0159324770798486	21	12827000	51
20220531 115142	0	0	0	1	auto	depthwise	256	0	1	0.0101906043623085	0.602835255741492	10	2	0.0185616077462516	1398	13401000	52
20220531 120229	0	0	0	1	auto	depthwise	256	0	1	0.0106407464731968	0.499368049213348	10	2	0.0162958196315404	807	13429000	53
20220531 123647	0	0	0	1	auto	depthwise	256	0	1	0.0101949773692921	0.428754048964765	10	24	0.0108762710249804	465	13236000	54
20220531 123832	0	0	0	1	auto	depthwise	256	0	1	0.0730674601382817	0.383472469754175	9	2	0.0188193944356391	112	13210000	55
20220531 123920	0	0	0	1	auto	depthwise	256	0	1	0.299981041102281	0.208942996501216	10	2	0.0181876088493106	84	12523000	56
20220531 124747	0	0	0	1	auto	depthwise	256	0	1	0.010048016466467	0.202532084880682	10	2	0.0276596229712965	1222	12358000	57
20220531 131849	0	0	0	1	auto	depthwise	256	0	1	0.0101350704337407	0.386312949916779	0	15	0.00835455631540455	232	9821000	58
20220531 135148	0	0	0	1	auto	depthwise	256	0	1	0.0100920015037385	0.708080736320049	9	3	0.0116358363295415	1726	13331000	59
20220531 140453	0	0	0	1	auto	depthwise	256	0	1	0.0101761520903775	0.427285761529241	5	2	0.0176206496571457	1198	13485000	60
20220531 141929	0	0	0	1	auto	depthwise	256	0	1	0.010025652900544	0.472455658617949	6	2	0.0181362980867754	1294	13511000	61
20220531 142543	0	0	0	1	auto	depthwise	256	0	1	0.0103341600593836	0.233817788226214	6	2	0.0181283279815126	647	13292000	62
20220531 144603	0	0	0	1	auto	depthwise	256	0	1	0.0101198700906373	0.6462750096737	6	2	0.0174702438382909	1528	13231000	63
20220531 150129	0	0	0	1	auto	depthwise	256	0	1	0.0112941949182782	0.350374843937157	6	2	0.0245153974815269	1860	12707000	64
20220531 150458	0	0	0	1	auto	depthwise	256	0	1	0.0232049960854173	0.42579267463671	5	2	0.0110381558267072	178	12748000	65
20220531 151605	0	0	0	1	auto	depthwise	256	0	1	0.0100322010623687	0.434108634575305	7	2	0.0183996361222488	945	13473000	66
20220531 152406	0	0	0	1	auto	depthwise	256	0	1	0.0101592264992218	0.322135276204396	4	2	0.0180960561436544	725	13358000	67
20220531 153936	0	0	0	1	auto	depthwise	256	0	1	0.0103394961552229	0.219243625513348	10	30	0.0254237822549809	278	11245000	68
20220531 154145	0	0	0	1	auto	depthwise	256	0	1	0.293312888697469	0.841548654330725	10	2	0.0169569368416872	99	12950000	69
20220531 155502	0	0	0	1	auto	depthwise	256	0	1	0.0110305104293357	0.779576672509797	10	2	0.0137984516532137	684	13299000	70
20220531 160818	0	0	0	1	auto	depthwise	256	0	1	0.0100998910981341	0.410116182404626	5	2	0.0185372262328438	1285	13381000	71
20220531 162027	0	0	0	1	auto	depthwise	256	0	1	0.0103000339350119	0.419021769581167	6	2	0.0178164730754477	1116	13566000	72
20220531 162254	0	0	0	1	auto	depthwise	256	0	1	0.299985534684982	0.983323910952555	10	2	0.0237280244320767	103	12038000	73
20220531 163415	0	0	0	1	auto	depthwise	256	0	1	0.010096364540867	0.41343370259935	8	2	0.0171111045920171	1033	13460000	74
20220531 163627	0	0	0	1	auto	depthwise	256	0	1	0.0640757376686443	0.428384460219191	6	2	0.0177130733941029	145	13547000	75
20220531 163934	0	0	0	1	auto	depthwise	256	0	1	0.299892851879157	0.810354303051345	7	2	0.0179826327180458	199	12489000	76
20220531 170311	0	0	0	1	auto	depthwise	256	0	1	0.0101246979052874	0.364371958026471	4	30	0.00834259816377588	37	13081000	77
20220531 170736	0	0	0	1	auto	depthwise	256	0	1	0.0442182297850266	0.412866695295601	6	2	0.0177340537185143	428	13677000	78
20220531 171228	0	0	0	1	auto	depthwise	256	0	1	0.0358241869518521	0.419190777561069	6	2	0.0175190319212067	472	13694000	79
20220531 171519	0	0	0	1	auto	depthwise	256	0	1	0.0392190117085155	0.417228407705214	4	2	0.0167986790016217	205	13410000	80
20220531 172142	0	0	0	1	auto	depthwise	256	0	1	0.04152590606823	0.712679342254942	10	5	0.0168298988033123	105	13214000	81
20220531 172619	0	0	0	1	auto	depthwise	256	0	1	0.299902861341103	0.917361908654375	10	30	0.0180127602158027	5	11074000	82
20220531 183632	0	0	0	1	auto	depthwise	256	0	1	0.010523657209917	0.975271457177821	3	30	0.00834927016018166	130	12145000	83
20220531 183811	0	0	0	1	auto	depthwise	256	0	1	0.213361887416519	0.624456733634434	10	2	0.0182141248347646	84	12776000	84
20220531 190400	0	0	0	1	auto	depthwise	256	0	1	0.0100606951206606	0.309592840629991	4	30	0.0171642164644649	177	12348000	85
20220531 190944	0	0	0	1	auto	depthwise	256	0	1	0.0345113828285854	0.391113284082483	6	2	0.0177171537151249	611	13713000	86
20220531 191159	0	0	0	1	auto	depthwise	256	0	1	0.299935741953293	0.988556169566398	9	2	0.0104137701113515	96	12122000	87
20220531 192033	0	0	0	1	auto	depthwise	256	0	1	0.0108405134172458	0.27081951077044	6	2	0.0317550154760477	1026	11632000	88
20220531 192857	0	0	0	1	auto	depthwise	256	0	1	0.0249262677949013	0.363032827391669	4	9	0.0172600683561133	112	13189000	89
20220531 192951	0	0	0	1	auto	depthwise	256	0	1	0.267775772097652	0.397442674568227	8	2	0.016351710829843	49	12715000	90
20220531 195355	0	0	0	1	auto	depthwise	256	0	1	0.0161588852045812	0.999858853331904	10	2	0.0296269235516872	1427	11624000	91
20220531 195457	0	0	0	1	auto	depthwise	256	0	1	0.299646859662605	0.486070298476481	3	2	0.00833814399623796	40	11491000	92
20220531 200135	0	0	0	1	auto	depthwise	256	0	1	0.0817541809441849	0.385113376775162	4	20	0.00833966293851429	61	11691000	93
20220531 200359	0	0	0	1	auto	depthwise	256	0	1	0.296009983925641	0.456717953717976	10	14	0.014844901067042	10	11823000	94
20220531 200814	0	0	0	1	auto	depthwise	256	0	1	0.0221872472751831	0.313393213162366	3	3	0.0164695932197167	207	13263000	95
20220531 201331	0	0	0	1	auto	depthwise	256	0	1	0.0367442819848172	0.370285408735406	6	2	0.017697066661558	580	13745000	96
20220531 201413	0	0	0	1	auto	depthwise	256	0	1	0.299561773655534	0.200574414643665	4	2	0.0175195089418314	60	12447000	97
20220531 201537	0	0	0	1	auto	depthwise	256	0	1	0.189267959125183	0.28034935047191	6	2	0.0175557604446276	156	13236000	98
20220531 201648	0	0	0	1	auto	depthwise	256	0	1	0.254638046853806	0.313396686732286	6	2	0.0213236790085019	111	12866000	99
20220531 201751	0	0	0	1	auto	depthwise	256	0	1	0.299955502380589	0.200078886524911	6	2	0.00995995663354878	136	12026000	100
20220531 201854	0	0	0	1	auto	depthwise	256	0	1	0.159951447418296	0.304080572100406	10	2	0.0270251802871523	80	12080000	101
20220531 202250	0	0	0	1	auto	depthwise	256	0	1	0.0385229147672042	0.353382780187503	6	2	0.0172228415396502	401	13636000	102
