fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220530 232345	0	0	0	1	hist	lossguide	256	0	1	0.0855904508470558	0.469647830249742	1	497	0.0156045171213918	12	9165000	1
20220530 232418	0	0	0	1	hist	lossguide	256	0	1	0.248653579382342	0.778051637122408	6	460	0.0168953355004002	9	11386000	2
20220530 232505	0	0	0	1	hist	lossguide	256	0	1	0.130179400212597	0.580411067130044	4	715	0.0265228368463189	20	9029000	3
20220530 232607	0	0	0	1	hist	lossguide	256	0	1	0.0595157134046312	0.362486556395888	2	928	0.0351482221599629	22	6642000	4
20220530 232648	0	0	0	1	hist	lossguide	256	0	1	0.15861977369769	0.976930949445814	3	754	0.0324249375441771	10	8267000	5
20220530 233026	0	0	0	1	hist	lossguide	256	0	1	0.014146170827793	0.833031942201778	3	162	0.0416726507377462	187	6503000	6
20220530 233128	0	0	0	1	hist	lossguide	256	0	1	0.0458934529499384	0.678196058077738	9	146	0.0414183522836538	61	9304000	7
20220530 233157	0	0	0	1	hist	lossguide	256	0	1	0.20562464987766	0.348048694776371	10	267	0.0145214515801248	26	12016000	8
20220530 233222	0	0	0	1	hist	lossguide	256	0	1	0.270386286510155	0.708604818480089	10	833	0.0391561185388127	9	8810000	9
20220530 233253	0	0	0	1	hist	lossguide	256	0	1	0.235158603462623	0.547754976879805	2	795	0.0247478374624431	1	7483000	10
20220530 233329	0	0	0	1	hist	lossguide	256	0	1	0.119809910198674	0.923343671085313	8	623	0.0462180504958572	22	7162000	11
20220530 233402	0	0	0	1	hist	lossguide	256	0	1	0.143048956438317	0.234461602317169	9	899	0.0445488946832484	32	8117000	12
20220530 233434	0	0	0	1	hist	lossguide	256	0	1	0.173492631677189	0.740222870958969	5	67	0.0124229479028145	13	11403000	13
20220530 233524	0	0	0	1	hist	lossguide	256	0	1	0.105565780659439	0.603446924434975	0	320	0.027601995098424	1	747000	14
20220530 233551	0	0	0	1	hist	lossguide	256	0	1	0.283313417741912	0.909477355042472	7	382	0.036984131775292	11	7764000	15
20220530 233618	0	0	0	1	hist	lossguide	256	0	1	0.22505168124882	0.2817883212585	8	1007	0.0206162499380298	12	10944000	16
20220530 233737	0	0	0	1	hist	lossguide	256	0	1	0.0305188216780079	0.277288406509906	5	38	0.0310483780233578	99	9996000	17
20220530 233812	0	0	0	1	hist	lossguide	256	0	1	0.184063068927382	0.519621557937935	2	529	0.0491006432498883	9	5640000	18
20220530 233839	0	0	0	1	hist	lossguide	256	0	1	0.292559332005098	0.402815428934991	0	229	0.00937879692016092	2	5509000	19
20220530 233926	0	0	0	1	hist	lossguide	256	0	1	0.0772649194751866	0.873782747965306	7	580	0.0210267282653755	35	11599000	20
20220530 234043	0	0	0	1	hist	lossguide	256	0	1	0.0398832227874842	0.416452945438659	8	134	0.0154032002277283	83	13044000	21
20220530 234355	0	0	0	1	hist	lossguide	256	0	1	0.0106346484005433	0.203256382915437	6	430	0.0141973570941967	144	13141000	22
20220530 234709	0	0	0	1	hist	lossguide	256	0	1	0.0118053899421003	0.432516876453254	8	532	0.0116226002558119	239	13170000	23
20220530 235135	0	0	0	1	hist	lossguide	256	0	1	0.0101123833287641	0.320646354863645	7	293	0.0110070687486273	437	12984000	24
20220530 235602	0	0	0	1	hist	lossguide	256	0	1	0.0100498540210853	0.948055994583424	3	1024	0.0111641697555929	134	12946000	25
20220530 235921	0	0	0	1	hist	lossguide	256	0	1	0.0101360579602097	0.473842099406993	5	797	0.0114518247684666	103	13308000	26
20220531 000307	0	0	0	1	hist	lossguide	256	0	1	0.0100740242774101	0.994377678773528	5	671	0.0122603359527673	130	12796000	27
20220531 000651	0	0	0	1	hist	lossguide	256	0	1	0.0100922047352251	0.213119811421812	3	793	0.00846804321019978	63	12669000	28
20220531 000805	0	0	0	1	hist	lossguide	256	0	1	0.0512191452861769	0.279893028705708	6	580	0.0100699364587109	101	12424000	29
20220531 001147	0	0	0	1	hist	lossguide	256	0	1	0.0102723429721294	0.441854245453343	4	835	0.0137695993917762	135	12407000	30
20220531 001511	0	0	0	1	hist	lossguide	256	0	1	0.0101108685471462	0.356243000457625	9	373	0.0158352773454604	236	12837000	31
20220531 001838	0	0	0	1	hist	lossguide	256	0	1	0.0101252373350502	0.555061402002396	6	967	0.0135105483785626	126	13104000	32
20220531 002233	0	0	0	1	hist	lossguide	256	0	1	0.0100080211379322	0.52673163520495	6	399	0.0143675981201788	244	12994000	33
20220531 002555	0	0	0	1	hist	lossguide	256	0	1	0.0100978027616733	0.957655430377525	9	92	0.0114538935994197	169	13160000	34
20220531 002912	0	0	0	1	hist	lossguide	256	0	1	0.0100817883985303	0.924867326323644	10	758	0.0114416784276326	159	13354000	35
20220531 003310	0	0	0	1	hist	lossguide	256	0	1	0.0102612903796503	0.858111803025122	8	912	0.00838608475294359	309	11988000	36
20220531 003621	0	0	0	1	hist	lossguide	256	0	1	0.0100078250724789	0.868663210627515	10	429	0.0122590583342157	172	13391000	37
20220531 004109	0	0	0	1	hist	lossguide	256	0	1	0.0104737756819719	0.609322910567268	10	714	0.0132331361330637	583	12991000	38
20220531 004423	0	0	0	1	hist	lossguide	256	0	1	0.0113560563591158	0.999858249322905	10	572	0.0138488004609284	220	13142000	39
20220531 004853	0	0	0	1	hist	lossguide	256	0	1	0.0100768307379012	0.999955019150687	10	168	0.00851749454951921	458	12374000	40
20220531 004940	0	0	0	1	hist	lossguide	256	0	1	0.0767763909988355	0.858055244419506	9	426	0.0122865903368628	19	13294000	41
20220531 005239	0	0	0	1	hist	lossguide	256	0	1	0.0105736123419223	0.233556146772883	8	2	0.0125088913750839	1035	12641000	42
20220531 005547	0	0	0	1	hist	lossguide	256	0	1	0.0100190972044409	0.811792719476885	9	435	0.0124419244195389	134	13394000	43
20220531 005909	0	0	0	1	hist	lossguide	256	0	1	0.0104415728153667	0.219941462855426	5	1021	0.0119107001806726	105	13047000	44
20220531 010322	0	0	0	1	hist	lossguide	256	0	1	0.0100211268229158	0.326173361798493	7	728	0.0135259262517616	332	13130000	45
20220531 010402	0	0	0	1	hist	lossguide	256	0	1	0.116724933510233	0.83167605773966	5	1024	0.011361615369727	18	11833000	46
20220531 010457	0	0	0	1	hist	lossguide	256	0	1	0.0507721449120797	0.867790624155353	8	255	0.0125926713544724	31	13048000	47
20220531 010559	0	0	0	1	hist	lossguide	256	0	1	0.0863174087775263	0.943706385431941	10	2	0.0187801954027684	385	13440000	48
