Feature	Gain	Cover	Frequency
ctrx_quarter	0.160890745307635	0.0293421177294665	0.0278632000745504
mpasivos_margen	0.055678339170605	0.0249881960552183	0.0315907184791725
cpayroll_trx	0.0537713917114155	0.0245422455639993	0.00512533780635542
mtarjeta_visa_consumo	0.0492927797406068	0.0147332153632301	0.0160283291398751
ctarjeta_visa_trx	0.03516584003471	0.0211494661836893	0.025440313111546
mcuentas_saldo	0.0339731386156772	0.0274475799353733	0.0242288696300438
mcaja_ahorro	0.0288174786050626	0.0198649135091549	0.0286087037554748
mactivos_margen	0.0286770813813952	0.0271556820489784	0.0249743733109682
Visa_msaldopesos	0.0237055789768174	0.0175586037800801	0.0206877271456528
mpayroll	0.0224481617985788	0.0246306071183847	0.00885285621097754
mrentabilidad_annual	0.0208132603172134	0.0153170156243399	0.0233901779890038
mprestamos_personales	0.0182200872365879	0.0207642157311511	0.00764141272947535
Master_fechaalta	0.01805982442982	0.0196029975998664	0.0229242381884261
Master_Fvencimiento	0.0173698836805706	0.0236770859916811	0.028981455595937
mcuenta_corriente	0.017047417010726	0.0154101617277665	0.0164942689404529
cliente_edad	0.016306818645836	0.0228898526299201	0.0250675612710838
chomebanking_trx	0.0147180023125844	0.0154643761441541	0.0207809151057683
cliente_antiguedad	0.0141761651945842	0.0163777806673581	0.0245084335103905
Visa_fechaalta	0.0136973390333528	0.0130242740864017	0.020221787345075
Visa_mpagominimo	0.0133356938834712	0.0122653395817749	0.0195694716242661
mcomisiones_otras	0.012928025754236	0.0113667913975262	0.0189171559034573
mcomisiones	0.0124853695488972	0.0109460114044529	0.020221787345075
Visa_Fvencimiento	0.0122494614736337	0.0124661290619896	0.0226446743080794
mtransferencias_emitidas	0.0121779033590198	0.0125981933874956	0.0154692013791818
mrentabilidad	0.0110599894888023	0.0115350046517172	0.0145373217780263
mcaja_ahorro_dolares	0.010950222334953	0.0167254593937949	0.0188239679433417
numero_de_cliente	0.0107483600941382	0.0112220655215086	0.017519336501724
Master_mfinanciacion_limite	0.010684850330607	0.0137575668192906	0.0192899077439195
Visa_mpagospesos	0.0104659420339606	0.0125128390074607	0.0217127947069239
Visa_mconsumospesos	0.0104126563264096	0.0109801361008511	0.0208741030658839
mextraccion_autoservicio	0.0101370341302262	0.00669435161140133	0.00922560805143975
ccomisiones_otras	0.00937828362975038	0.0149346376965544	0.0147236976982574
Master_mlimitecompra	0.00911360542852799	0.0109939421729439	0.0180784642624173
Visa_mfinanciacion_limite	0.00909436763566078	0.0125317572759492	0.0178920883421862
Visa_msaldototal	0.00893785480253249	0.0131726803847587	0.0198490355046128
cprestamos_personales	0.00875598928772086	0.00645089616196896	0.00344795452427546
ccomisiones_mantenimiento	0.00836268309287472	0.0191736179858146	0.00820054049016867
mautoservicio	0.00764955678145856	0.0168216665314111	0.0207809151057683
mcomisiones_mantenimiento	0.0076083645967328	0.0149323935365913	0.00997111173236418
Visa_mlimitecompra	0.00756270355761643	0.0109540634504003	0.013978194017333
ctarjeta_debito_trx	0.00730208772631327	0.0119144606832308	0.0171465846612618
mtransferencias_recibidas	0.00646503432142303	0.00702219196376461	0.0120212468549063
ctransferencias_recibidas	0.00593822652660517	0.0136322304853539	0.0103438635728264
cproductos	0.00588777150755528	0.00794769699748946	0.00848010437051533
mtarjeta_visa_debitos_automaticos	0.00556062597549946	0.00772594706321979	0.0111825552138664
Visa_cconsumos	0.0054146433623245	0.00715328232384667	0.00903923213120865
Visa_mconsumototal	0.00532703715595164	0.00726246968268929	0.0132326903364085
mcuenta_debitos_automaticos	0.00475211388374497	0.00697632133411971	0.00857329233063088
Master_status	0.00471363412875122	0.0124834046053852	0.00260926288323549
ccallcenter_trx	0.00453309277937892	0.00575668771899663	0.00214332308265772
thomebanking	0.00450868827699477	0.0030514157200093	0.0031683906439288
Master_mpagominimo	0.00420384622928156	0.00670673488607749	0.00559127760693318
mpagomiscuentas	0.00416726825991913	0.00887585013997073	0.00922560805143975
Master_mpagospesos	0.00380001550954647	0.0120401695477215	0.00726866088901314
ccaja_ahorro	0.00353362947131251	0.0129978737885963	0.00400708228496878
Master_msaldototal	0.00343593122554492	0.0048835883087291	0.00587084148727984
ctransferencias_emitidas	0.00328397997561585	0.0114285147731502	0.00587084148727984
matm	0.00325632447075852	0.00480094487392953	0.00587084148727984
Visa_mpagado	0.00313689981827973	0.013122608687663	0.00726866088901314
ccuenta_debitos_automaticos	0.00291880599492624	0.00794818173604148	0.00764141272947535
mdescubierto_preacordado	0.00268716883395787	0.00511652762457459	0.00186375920231106
Visa_mconsumosdolares	0.00259303470932954	0.00333891056455672	0.00661634516820427
Master_msaldopesos	0.00254866041311033	0.00466727372988995	0.00447302208554655
tcallcenter	0.00251966686112712	0.00326786943676616	0.00186375920231106
mplazo_fijo_dolares	0.00237590097390964	0.0150287981602843	0.0029820147236977
cextraccion_autoservicio	0.00220825113778507	0.00479491257194884	0.00708228496878203
ccajas_consultas	0.00215302303825182	0.00825558227946123	0.00167738328207996
Master_mconsumospesos	0.00204749565171842	0.00364110016854225	0.00493896188612431
ctarjeta_debito	0.00200816485029011	0.00324639731423963	0.00326157860404436
ctarjeta_visa_debitos_automaticos	0.00193212477881743	0.00482417641786711	0.00465939800577765
catm_trx	0.00176482280695354	0.00714719167370693	0.00540490168670208
Visa_mpagosdolares	0.00165472139829195	0.00424657452657527	0.00354114248439102
cpagomiscuentas	0.00145697166345385	0.00527462869397202	0.0045662100456621
ccaja_seguridad	0.00137935609163926	0.00617981510339134	0.00149100736184885
Visa_status	0.00128203430936335	0.00497884841084099	0.00102506756127108
cseguro_accidentes_personales	0.00127744803914166	0.00713374466720829	0.00232969900288883
Master_cconsumos	0.00125703234918341	0.00242540280999438	0.00260926288323549
cmobile_app_trx	0.00118515744549173	0.0012920616337708	0.00167738328207996
Visa_fultimo_cierre	0.00117830664414148	0.00182447063172659	0.00260926288323549
Master_fultimo_cierre	0.00102197760881619	0.00190804314875086	0.00232969900288883
Visa_Finiciomora	0.000916477505168341	0.00392113542537247	0.000838691641039978
Master_mconsumototal	0.000903091207232199	0.00205078967568105	0.00177057124219551
ctarjeta_master_trx	0.000894038770005676	0.00114626753761079	0.0013978194017333
active_quarter	0.000838949551680484	0.000286354811286187	0.000559127760693318
Visa_delinquency	0.000793927755088888	0.00184173719848235	0.000838691641039978
ctarjeta_master	0.000772367365369013	0.000510488043436632	0.000931879601155531
tmobile_app	0.000652619692917874	0.00723985303858159	0.00111825552138664
catm_trx_other	0.000630182336946366	0.00170449784010151	0.00149100736184885
Master_mpagado	0.000624047666478916	0.00731234389370829	0.0015841953219644
ccajas_trx	0.00058075301740926	0.0022969560703488	0.000745503680924425
mtarjeta_master_consumo	0.000564751199526202	0.00201901685892408	0.00177057124219551
cinversion1	0.000525119578969007	0.00499100278120091	0.000652315720808872
