fecha	num.rondas	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	tasa_eleccion_correcta	iteracion
20220526 002555	8	70	120	17	90	5	91	135	77	83	50	0.9781	1
20220526 002809	5	47	55	105	66	70	41	60	107	55	85	0.9576	2
20220526 002915	2	42	108	79	68	61	62	98	49	120	29	0.7591	3
20220526 003201	8	74	79	91	73	54	100	77	25	130	100	0.9824	4
20220526 003418	6	57	26	102	61	78	123	67	62	77	35	0.97	5
20220526 003546	8	121	34	47	136	136	108	74	118	88	92	0.8549	6
20220526 003721	3	56	110	61	79	71	31	16	38	67	76	0.8994	7
20220526 003905	3	13	35	133	51	110	136	104	30	27	70	0.7386	8
20220526 004116	7	115	59	58	13	86	54	96	69	29	103	0.8575	9
20220526 004514	9	81	72	30	58	104	45	43	57	125	44	0.9836	10
20220526 004617	2	44	68	98	20	20	42	88	113	12	21	0.6341	11
20220526 004721	3	107	86	81	82	24	16	119	118	65	106	0.8128	12
20220526 004835	4	128	30	123	125	41	71	36	60	60	77	0.7838	13
20220526 005017	10	108	117	114	101	50	64	131	72	106	32	0.9026	14
20220526 005235	8	105	93	115	48	41	15	38	64	24	16	0.9248	15
20220526 005350	2	52	19	94	31	89	27	24	46	22	119	0.4322	16
20220526 005824	10	76	67	72	39	28	84	26	133	136	82	0.9795	17
20220526 010135	10	82	96	111	33	38	96	112	10	50	87	0.9728	18
20220526 010311	3	39	43	107	22	65	58	127	38	116	128	0.8361	19
20220526 010654	9	62	100	38	44	92	132	61	91	33	28	0.9856	20
20220526 011007	7	90	6	28	45	47	33	84	100	52	1	0.9233	21
20220526 011057	1	28	122	70	104	137	103	55	128	44	67	0.174	22
20220526 011148	2	118	103	52	118	99	21	72	124	104	15	0.6655	23
20220526 011401	5	66	8	36	111	130	87	101	1	47	114	0.9399	24
20220526 011628	6	51	91	76	129	31	25	108	4	76	9	0.9795	25
20220526 011722	5	133	82	43	95	99	130	15	32	98	96	0.7105	26
20220526 011816	2	138	46	65	8	81	80	20	21	6	38	0.7301	27
20220526 011906	1	35	73	34	132	75	49	49	15	139	126	0.2182	28
20220526 012042	6	129	63	87	18	124	8	46	134	112	61	0.7722	29
20220526 012132	1	64	2	19	108	13	4	132	88	102	64	0.3947	30
20220526 012310	4	94	135	2	26	91	55	68	44	72	137	0.68	31
20220526 012531	6	99	14	51	38	3	116	32	99	38	117	0.9387	32
20220526 012617	7	137	128	120	121	34	119	31	82	1	54	0.7262	33
20220526 012952	10	25	112	129	97	118	111	81	54	132	58	0.9425	34
20220526 013209	6	17	127	57	86	8	37	124	126	37	45	0.8822	35
20220526 013413	5	19	22	86	1	132	68	0	105	61	24	0.821	36
20220526 013654	7	32	139	140	12	57	114	11	9	92	131	0.9594	37
20220526 013901	9	113	10	126	115	125	75	52	93	12	124	0.9525	38
20220526 013949	1	84	84	12	4	114	9	140	109	17	51	0.5061	39
20220526 014115	4	98	132	7	124	16	139	116	73	123	98	0.9117	40
20220526 014301	4	88	50	4	140	106	94	6	84	6	3	0.9484	41
20220526 014642	9	22	53	23	70	12	2	4	19	80	111	0.8018	42
20220526 014745	4	125	39	137	55	60	78	109	26	93	7	0.8038	43
20220526 015139	10	12	18	12	88	118	125	90	140	111	137	0.7468	44
20220526 015333	4	55	65	66	130	18	56	114	59	87	24	0.9597	45
20220526 015603	9	74	89	123	38	85	83	75	83	66	67	0.9756	46
20220526 015838	6	58	52	42	93	26	82	48	54	91	95	0.9622	47
20220526 015955	9	101	85	44	63	140	124	81	117	92	29	0.8562	48
20220526 020312	10	67	92	92	90	72	92	24	41	49	42	0.9833	49
20220526 020700	9	74	48	82	84	98	49	15	46	7	41	0.9887	50
20220526 021049	10	62	138	138	6	23	103	28	102	105	41	0.9775	51
20220526 021433	8	59	96	57	68	79	80	54	21	37	55	0.9873	52
20220526 021638	3	60	133	81	99	40	100	110	36	129	5	0.9185	53
20220526 022058	10	68	91	138	47	35	48	12	24	131	95	0.9715	54
20220526 022423	9	71	34	59	45	21	97	48	34	99	28	0.9637	55
20220526 022646	5	69	43	16	136	60	130	122	117	67	39	0.9559	56
20220526 023031	10	64	133	52	27	73	55	62	58	139	37	0.9599	57
20220526 023444	9	82	82	38	58	42	53	32	78	15	96	0.9802	58
20220526 023747	6	69	26	58	102	6	129	113	3	19	26	0.9684	59
20220526 024112	7	51	84	122	65	37	55	116	16	103	63	0.9817	60
20220526 024404	6	61	10	118	90	54	39	112	36	33	92	0.955	61
20220526 024715	7	36	20	75	4	60	37	66	20	102	84	0.8753	62
20220526 024940	8	55	127	104	96	57	61	59	67	123	17	0.9627	63
20220526 025205	5	52	102	105	115	17	109	95	9	53	70	0.971	64
20220526 025445	7	56	128	91	55	15	129	108	44	68	69	0.9621	65
20220526 025714	5	62	62	22	112	53	49	35	31	5	14	0.9572	66
20220526 025955	9	64	117	90	84	86	114	23	36	116	81	0.972	67
20220526 030329	8	76	59	63	126	61	43	123	21	41	54	0.9895	68
20220526 030727	9	67	98	29	68	79	65	118	23	16	31	0.9838	69
20220526 031006	6	46	98	139	109	63	107	114	29	125	101	0.9769	70
20220526 031233	5	49	78	91	89	70	61	131	16	101	49	0.9711	71
20220526 031634	10	67	72	137	40	42	109	51	92	10	75	0.9843	72
20220526 032003	8	71	51	128	91	74	105	41	76	36	130	0.9894	73
20220526 032338	8	67	70	58	84	81	90	113	69	25	35	0.9879	74
20220526 032624	6	51	76	119	130	99	86	53	3	46	55	0.9818	75
20220526 032957	9	82	37	135	112	105	44	63	14	38	122	0.9861	76
20220526 033301	10	68	90	129	88	14	115	67	75	132	67	0.9763	77
20220526 033639	8	82	9	119	83	111	65	35	29	41	93	0.9801	78
20220526 033936	8	55	103	139	78	43	95	114	11	44	111	0.9782	79
20220526 034217	6	50	101	137	65	29	86	33	2	81	34	0.973	80
20220526 034553	10	79	58	133	36	90	98	23	67	112	93	0.9832	81
20220526 035005	9	74	59	30	124	88	78	50	65	22	54	0.9844	82
20220526 035423	10	84	36	118	63	59	27	39	88	48	71	0.9845	83
20220526 035747	8	81	61	88	101	18	35	121	82	102	120	0.9826	84
20220526 040122	8	73	70	18	64	46	79	25	84	45	38	0.9747	85
20220526 040406	6	73	64	113	110	0	87	96	99	85	69	0.985	86
20220526 040650	7	59	78	135	107	87	117	81	0	78	121	0.9808	87
20220526 041003	8	76	66	92	110	108	20	56	63	46	113	0.9884	88
20220526 041325	10	49	126	132	38	96	116	46	43	29	51	0.9759	89
20220526 041531	4	60	94	56	127	6	113	0	87	104	42	0.9693	90
20220526 041822	8	69	84	123	90	98	27	109	9	103	60	0.9723	91
20220526 042057	10	77	106	130	54	53	79	35	86	47	124	0.9549	92
20220526 042257	4	41	115	130	79	27	8	71	51	126	36	0.9572	93
20220526 042707	10	79	59	118	17	34	57	30	82	129	41	0.9795	94
20220526 043102	9	83	35	88	92	70	47	63	60	30	78	0.9866	95
20220526 043328	5	75	35	71	136	31	123	3	95	15	49	0.9698	96
20220526 043725	9	73	63	68	50	106	98	40	14	21	78	0.9877	97
20220526 044140	10	57	76	114	37	45	111	34	74	94	49	0.9837	98
20220526 044434	7	58	91	134	67	65	73	29	92	135	114	0.9788	99
20220526 044810	10	80	46	126	130	115	27	6	72	121	69	0.9874	100
20220526 045219	10	77	24	139	112	112	78	117	13	14	55	0.9857	101
20220526 045554	10	85	49	130	112	120	36	42	3	32	72	0.9778	102
20220526 050015	10	77	5	136	103	101	58	44	40	130	68	0.9706	103
20220526 050432	10	66	91	58	38	11	117	122	72	4	15	0.9774	104
20220526 050751	8	79	26	128	139	106	63	112	82	15	119	0.9872	105
20220526 051124	9	68	64	129	111	113	44	8	95	32	65	0.9885	106
20220526 051529	10	66	63	133	56	113	86	24	107	27	20	0.9902	107
20220526 051903	8	77	40	45	110	87	106	126	23	6	126	0.9862	108
20220526 052233	8	77	68	62	115	3	86	113	46	26	98	0.9861	109
20220526 052459	5	77	20	76	123	2	131	104	89	123	100	0.9532	110
